1ST GEN ANTIHISTAMINE & DECONGESTANT COMBINATIONS,1001
2ND GEN ANTIHISTAMINE & DECONGESTANT COMBINATIONS,1002
ABSORBABLE SULFONAMIDE ANTIBACTERIAL AGENTS,1004
ACE INHIBITOR-CALCIUM CHANNEL BLOCKER COMBINATION,1005
ACE INHIBITOR-THIAZIDE OR THIAZIDE-LIKE DIURETIC,1006
"ADRENERGIC AGENTS,CATECHOLAMINES",1010
ADRENERGIC VASOPRESSOR AGENTS,1011
"ADRENERGICS, AROMATIC, NON-CATECHOLAMINE",1012
ADRENOCORTICOTROPHIC HORMONES,1013
ALPHA/BETA-ADRENERGIC BLOCKING AGENTS,1018
ALPHA-2 RECEPTOR ANTAGONIST ANTIDEPRESSANTS,1019
ALPHA-ADRENERGIC BLOCKING AGENTS,1020
AMINOGLYCOSIDES,1023
"ANALGESIC, NON-SAL.- 1ST GENERATION ANTIHISTAMINE",1027
"ANALGESIC, NON-SALICYLATE & BARBITURATE COMB.",1028
"ANALGESIC, SALICYLATE, BARBITURATE,& XANTHINE CMB",1029
"ANALGESIC,NON-SALICYLATE,BARBITURATE,&XANTHINE CMB",1030
"ANALGESIC,NON-SALICYLATE-1ST GEN ANTIHIST-XANTHINE",1031
"ANALGESIC,NSAID-1ST GEN.ANTIHISTAMINE,SEDATIVE CMB",1032
"ANALGESIC/ANTIPYRETICS, SALICYLATES",1033
"ANALGESIC/ANTIPYRETICS,NON-SALICYLATE",1034
"ANALGESICS NARCOTIC, ANESTHETIC ADJUNCT AGENTS",1035
"ANALGESICS, NARCOTIC AGONIST AND NSAID COMBINATION",1036
"ANALGESICS, NARCOTICS",1037
"ANALGESICS, NON-NARCOTICS",1038
ANAPHYLAXIS THERAPY AGENTS,1039
ANDROGENIC AGENTS,1040
ANGIOTENSIN RECEPTOR ANTAG.-THIAZIDE DIURETIC COMB,1041
ANGIOTENSIN RECEPTOR ANTGNST & CALC.CHANNEL BLOCKR,1042
"ANTIANGINAL & ANTI-ISCHEMIC AGENTS,NON-HEMODYNAMIC",1046
ANTI-ANXIETY DRUGS,1047
ANTIARRHYTHMICS,1048
"ANTICHOLINERGICS,QUATERNARY AMMONIUM",1053
ANTICHOLINERGICS/ANTISPASMODICS,1054
"ANTICOAGULANTS,COUMARIN TYPE",1055
ANTIDIURETIC AND VASOPRESSOR HORMONES,1059
ANTIFUNGAL AGENTS,1065
ANTIFUNGAL ANTIBIOTICS,1066
ANTIHISTAMINES - 1ST GENERATION,1069
ANTIHISTAMINES - 2ND GENERATION,1070
"ANTIHYPERTENSIVES, ACE INHIBITORS",1083
"ANTIHYPERTENSIVES, ANGIOTENSIN RECEPTOR ANTAGONIST",1084
"ANTIHYPERTENSIVES, MISCELLANEOUS",1085
"ANTIHYPERTENSIVES, SYMPATHOLYTIC",1086
"ANTIHYPERTENSIVES, VASODILATORS",1087
ANTIMIGRAINE PREPARATIONS,1095
"ANTIPARKINSONISM DRUGS,ANTICHOLINERGIC",1123
"ANTIPARKINSONISM DRUGS,OTHER",1124
"ANTIPSYCHOTICS, ATYP, D2 PARTIAL AGONIST/5HT MIXED",1130
"ANTIPSYCHOTICS, DOPAMINE & SEROTONIN ANTAGONISTS",1131
"ANTIPSYCHOTICS,ATYPICAL,DOPAMINE,& SEROTONIN ANTAG",1132
"ANTIPSYCHOTICS,DOPAMINE ANTAGONISTS, THIOXANTHENES",1133
